자치구,행정동,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,행정동_코드
관악구,남현동,1640,0,272,418,447,326,177,11210630
노원구,상계9동,1635,0,211,433,409,432,150,11110730
강북구,우이동,1622,0,40,106,252,431,793,11090740
종로구,숭인2동,1620,0,185,407,361,361,306,11010710
성북구,보문동,1606,0,157,473,337,336,303,11080610
강서구,화곡3동,1577,0,218,383,403,363,210,11160580
마포구,염리동,1577,0,405,363,292,311,206,11140610
마포구,아현동,1574,0,303,510,452,265,44,11140780
은평구,신사1동,1546,0,163,327,383,390,283,11120650
관악구,서원동,1546,0,280,338,282,357,289,11210640
서대문구,남가좌2동,1524,0,181,371,422,394,156,11130700
노원구,상계5동,1511,0,13,71,283,444,700,11110690
마포구,성산2동,1511,0,103,292,424,501,191,11140730
서대문구,남가좌1동,1506,0,89,169,250,371,627,11130690
용산구,효창동,1493,0,210,392,412,323,156,11030580
강서구,화곡본동,1482,0,125,291,384,377,305,11160550
관악구,조원동,1453,0,279,362,359,314,139,11210720
용산구,보광동,1447,0,242,413,448,253,91,11030700
용산구,원효로1동,1380,0,208,382,366,259,165,11030720
동작구,사당4동,1379,0,135,266,364,293,321,11200660
강동구,성내2동,1372,0,213,293,334,270,262,11250660
서초구,내곡동,1371,0,201,283,290,294,303,11220680
서대문구,홍은2동,1370,0,182,350,367,339,132,11130680
노원구,월계1동,1364,0,203,324,365,276,196,11110510
강북구,수유2동,1361,0,6,21,269,449,616,11090640
강서구,방화2동,1350,0,88,259,318,399,286,11160710
성북구,월곡1동,1348,0,39,147,285,292,585,11080710
관악구,성현동,1347,0,193,237,309,412,196,11210790
중랑구,면목2동,1346,0,93,278,390,398,187,11070520
양천구,신월2동,1339,0,103,213,358,377,288,11150580
관악구,서림동,1326,0,178,242,336,295,275,11210660
도봉구,도봉1동,1298,0,0,63,337,546,352,11100640
동작구,상도2동,1267,0,103,304,358,329,173,11200540
중랑구,묵2동,1232,0,174,313,298,356,91,11070650
중랑구,망우본동,1232,0,84,221,297,422,208,11070730
은평구,응암3동,1225,0,62,314,394,325,130,11120730
은평구,진관동,1216,0,99,309,346,299,163,11120710
양천구,신정3동,1211,0,89,235,311,259,317,11150660
노원구,중계4동,1196,0,106,246,285,325,234,11110640
노원구,중계2?3동,1194,0,158,312,305,305,114,11110780
양천구,신월3동,1178,0,85,219,272,388,214,11150590
강동구,고덕2동,1176,0,57,144,265,416,294,11250560
금천구,독산2동,1175,0,110,240,291,387,147,11180530
양천구,신월5동,1174,0,120,310,313,311,120,11150610
중랑구,중화1동,1170,0,107,261,319,291,192,11070610
서대문구,북가좌2동,1168,0,138,243,284,309,194,11130720
중랑구,신내2동,1164,0,153,292,286,290,143,11070700
영등포구,신길7동,1161,0,146,239,259,314,203,11190690
관악구,난곡동,1147,0,51,244,290,399,163,11210810
금천구,시흥2동,1138,0,114,234,288,333,169,11180580
중랑구,상봉1동,1130,0,111,203,251,319,246,11070590
동작구,사당3동,1114,0,130,250,304,264,166,11200650
영등포구,대림1동,1106,0,366,264,250,181,45,11190700
성북구,정릉4동,1105,0,71,184,283,357,210,11080650
영등포구,도림동,1095,0,82,219,296,308,190,11190750
중랑구,묵1동,1089,0,82,273,343,277,114,11070640
금천구,시흥4동,1086,0,164,231,328,283,80,11180600
성북구,장위2동,1076,0,70,210,290,270,236,11080770
도봉구,창2동,1070,0,112,255,307,263,133,11100600
도봉구,쌍문3동,1058,0,232,249,273,257,47,11100530
양천구,신월4동,1047,0,24,116,259,357,291,11150600
광진구,구의2동,1045,0,144,181,272,288,160,11050610
노원구,공릉2동,1031,0,175,257,250,240,109,11110560
금천구,시흥5동,1030,0,119,248,290,234,139,11180610
동대문구,휘경1동,1027,0,89,216,276,267,179,11060720
동대문구,이문1동,1027,0,193,278,296,195,65,11060890
구로구,오류2동,1024,0,94,232,274,264,160,11170730
송파구,마천2동,1014,0,55,244,309,284,122,11240560
관악구,은천동,1013,0,136,191,212,286,188,11210780
구로구,가리봉동,1010,0,109,253,256,175,217,11170700
금천구,독산4동,1002,0,97,163,207,241,294,11180550
동작구,상도4동,999,0,106,242,275,259,117,11200560
노원구,하계1동,994,0,115,205,254,282,138,11110580
강서구,화곡8동,991,0,118,284,307,177,105,11160630
중구,황학동,990,0,149,297,267,169,108,11020670
성동구,왕십리2동,986,0,108,273,295,229,81,11040520
구로구,구로4동,985,0,59,216,268,267,175,11170550
중랑구,면목5동,962,0,55,141,287,260,219,11070550
용산구,원효로2동,949,0,147,296,269,154,83,11030570
강북구,송중동,944,0,37,132,321,286,168,11090710
성동구,용답동,942,1,244,280,194,143,80,11040700
종로구,이화동,939,1,171,258,242,180,87,11010640
은평구,신사2동,935,0,88,189,252,244,162,11120660
서대문구,북아현동,917,0,93,214,258,260,92,11130740
동작구,사당5동,912,0,100,236,286,221,69,11200670
도봉구,방학2동,911,0,89,201,225,204,192,11100560
강서구,등촌2동,905,0,102,183,223,236,161,11160530
관악구,삼성동,903,0,63,174,273,264,129,11210820
송파구,마천1동,884,0,34,208,301,279,62,11240550
강북구,수유1동,867,0,45,127,263,301,131,11090630
강동구,고덕1동,845,0,96,186,218,201,144,11250550
용산구,이태원2동,835,0,112,315,259,101,48,11030660
중랑구,면목본동,835,0,53,210,245,226,101,11070710
도봉구,쌍문1동,825,0,67,117,245,259,137,11100510
도봉구,창4동,818,0,85,159,202,230,142,11100620
동작구,상도3동,799,0,39,162,233,195,170,11200550
영등포구,신길5동,789,0,96,182,251,194,66,11190670
도봉구,창1동,785,0,101,161,216,220,87,11100590
동대문구,휘경2동,761,0,92,170,206,190,103,11060730
강북구,미아동,751,0,37,115,252,244,103,11090700
성동구,송정동,748,0,83,184,205,156,120,11040690
도봉구,쌍문2동,745,0,61,120,185,242,137,11100520
