자치구,행정동,당월_매출_금액,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,행정동_코드
노원구,상계1동,485925138.4935065,346959371.5974026,138965766.8961039,69684707.45454545,72757226.87012987,61255078.1038961,67295887.24675325,75966471.92207792,82376468.50649351,56589298.38961039,13386913.55844156,43876292.79220779,117376923.67532468,107554286.02597402,156620948.44155845,47109774.0,3001567.493506493,33076509.14285714,63352714.68831169,84194190.32467532,124829213.83116885,156110582.93506494,11110650
마포구,대흥동,484643952.0769231,369242821.5769231,115401130.5,74239132.46153846,79390001.38461539,69042817.15384616,70358942.5,76211928.07692307,65866473.615384616,49534656.88461538,10849301.538461538,33872892.73076923,127109446.8076923,93610750.5,165634977.73076922,53566582.76923077,2709692.5,50058943.615384616,82715269.38461539,153251321.23076922,101532284.1153846,56758847.538461536,11140600
서초구,내곡동,484077698.3333333,294926446.6666667,189151251.66666663,51349347.333333336,57943691.66666666,63518458.333333336,60882176.333333336,61232773.0,92450888.0,96700363.66666669,0.0,5521550.666666667,241530020.66666663,96371836.66666669,139658466.33333334,995824.0,102180.0,13157862.333333334,51389984.66666666,76922965.66666667,101631624.0,153765908.33333334,11220680
중랑구,망우본동,482568101.3174603,346749783.5714286,135818317.74603173,68463192.23809524,69905822.61904761,61921493.333333336,66595467.6984127,79863807.68253969,79202477.33333333,56615840.41269841,18574701.746031743,43397925.52380952,113562586.73015872,113948280.15873016,153696620.41269842,39387986.74603175,997458.984126984,23602134.41269841,57087062.79365079,72678858.25396825,123909991.23809524,189937032.7936508,11070730
성북구,안암동,481244538.6375,365937374.25,115307164.3875,71147515.6875,77840047.6,70741940.6,72763948.25,73443922.1125,68309652.475,46997511.9125,31206463.425,36673423.1125,115975189.3,77620121.45,154916880.625,64852460.725,11028874.65,142829671.0625,73706722.6375,67869405.8375,94045421.9375,60247142.975,11080600
광진구,중곡2동,474819065.6666667,356948540.25287354,117870525.4137931,73649984.42528735,73178929.6091954,64798914.72413793,66008046.43678161,79312665.05747126,76953034.04597701,40917491.36781609,14535041.586206896,43886355.37931035,126999881.54022989,108132436.90804598,141657545.03448275,39607805.21839081,1710309.1264367816,37554040.27586207,85644348.21839081,103332114.54022989,109833722.4137931,119734542.6551724,11050560
서대문구,천연동,472644372.9166667,358164836.875,114479536.04166669,68812042.95833333,75308762.5,69149861.16666667,59074087.458333336,85820082.79166667,77681185.0,36798351.04166666,1416850.125,81712271.83333333,139384076.125,141886807.5,96939346.16666669,11305021.166666666,587649.375,14625016.083333334,41200460.375,69265367.375,122311759.66666669,196054298.375,11130520
송파구,문정1동,472461457.10638297,352917171.87234044,119544285.23404256,61116327.23404256,69069920.82978724,69490076.46808511,84163341.91489361,69077505.42553191,66226464.44680851,53317820.787234046,4894022.787234043,35357590.70212766,113649288.34042554,133756102.17021276,158763226.38297874,26041226.72340425,822314.085106383,25622766.78723404,75842682.63829787,123838199.46808513,111146563.36170211,88569913.5106383,11240680
서대문구,북아현동,471579563.5714286,316754201.5714286,154825362.0,70134777.8095238,64835352.571428575,56727728.14285714,56622543.61904762,68433799.42857143,88976545.23809524,65848816.76190476,1750669.9523809524,42846048.809523806,108444627.04761904,131985097.52380952,156292244.42857143,30260875.80952381,1237993.0476190476,23279415.04761905,64060369.23809524,79502569.71428572,116874879.04761904,162015294.04761904,11130740
용산구,용산2가동,469918862.95,280297055.7,189621807.25,42231068.25,66158084.7,52218838.25,52225384.05,67463680.45,103521574.05,86100233.2,23240473.55,36928542.7,57144251.85,80698403.8,184439314.35,87467876.7,4892611.35,139685289.4,130370609.05,56457762.3,48219161.0,74770048.95,11030520
